"Vehicle_type","VEHCODE"
"17 FT OPEN","VEH001"
"19 FT OPEN","VEH002"
"20FT CLOSED 6.5 MT","VEH003"
"9 TON OPEN","VEH004"
"16 TON OPEN","VEH005"
"21 TON OPEN","VEH006"
"25 TON OPEN","VEH007"
"24 FT MXL 10 MT","VEH008"
"32 FT SXL CBV 7 MT","VEH009"
"32 FT MXL CBV 15 MT","VEH010"
"TRAILOR 20FT","VEH011"
"ODC-TRAILOR 40FT","VEH012"
"CONTAINER 20FT","VEH013"
"CONTAINER 40FT","VEH014"
"32 FT MXL CBV 18 MT","VEH015"
"32 FT SXL CBV 9 MT","VEH016"
"22 FT CBV 9 MT","VEH017"
"32 FT MXL CBV 15 MT HQ","VEH018"
"32 FT MXL CBV 18 MT HQ","VEH019"
"PTL","VEH020"
"14 FT OPEN","VEH021"
"30 MT OPEN","VEH022"
"NORMAL-TRAILOR 40FT","VEH023"
"32 FT SXL CBV 7 MT HQ","VEH024"
"08 FT IOPEN","VEH025"
"09 FT OPEN","VEH026"
"41 FT TRAILOR","VEH027"
"TATA ACE","VEH028"
